Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
1.78000000   0.81290062   1.82118248   0.79070266   1.18025550  
1.78500000   0.93894296   1.76725747   0.90483002   1.06612815  
1.79000000   1.06101129   1.70818488   1.01193910   0.95901907  
1.79500000   1.17878045   1.64499867   1.11170846   0.85924970  
1.80000000   1.29199721   1.57870801   1.20399225   0.76696592  
1.80500000   1.40047748   1.51026803   1.28880053   0.68215763  
1.81000000   1.50410167   1.44055780   1.36627580   0.60468237  
1.81500000   1.60280882   1.37036575   1.43666769   0.53429048  
1.82000000   1.69658989   1.30038156   1.50030801   0.47065015  
1.82500000   1.78548075   1.23119378   1.55758730   0.41337086  
1.83000000   1.86955507   1.16329188   1.60893391   0.36202425  
1.83500000   1.94891760   1.09707160   1.65479613   0.31616204  
1.84000000   2.02369779   1.03284254   1.69562750   0.27533066  
1.84500000   2.09404405   0.97083697   1.73187526   0.23908291  
1.85000000   2.16011870   0.91121933   1.76397156   0.20698661  
1.85500000   2.22209347   0.85409558   1.79232728   0.17863089  
1.86000000   2.28014577   0.79952222   1.81732786   0.15363031  
1.86500000   2.33445545   0.74751465   1.83933091   0.13162726  
1.87000000   2.38520226   0.69805465   1.85866512   0.11229304  
1.87500000   2.43256367   0.65109708   1.87563027   0.09532789  
1.88000000   2.47671321   0.60657563   1.89049791   0.08046026  
1.88500000   2.51781914   0.56440772   1.90351261   0.06744556  
1.89000000   2.55604351   0.52449870   1.91489359   0.05606458  
1.89500000   2.59154135   0.48674523   1.92483646   0.04612170  
1.90000000   2.62446026   0.45103814   1.93351517   0.03744299  
1.90500000   2.65494000   0.41726468   1.94108385   0.02987431  
1.91000000   2.68311236   0.38531035   1.94767869   0.02327948  
1.91500000   2.70910106   0.35506030   1.95341970   0.01753847  
1.92000000   2.73302179   0.32640040   1.95841239   0.01254577  
1.92500000   2.75498226   0.29921809   1.96274931   0.00820885  
1.93000000   2.77508234   0.27340291   1.96651142   0.00444674  
1.93500000   2.79341425   0.24884691   1.96976941   0.00118875  
1.94000000   2.81006270   0.22544489   1.97258483   -0.00162667 
1.94500000   2.82510513   0.20309454   1.97501112   -0.00405296 
1.95000000   2.83861190   0.18169641   1.97709452   -0.00613636 
1.95500000   2.85064646   0.16115386   1.97887487   -0.00791671 
1.96000000   2.86126560   0.14137299   1.98038633   -0.00942816 
1.96500000   2.87051958   0.12226239   1.98165795   -0.01069979 
1.97000000   2.87845233   0.10373299   1.98271425   -0.01175608 
1.97500000   2.88510161   0.08569777   1.98357562   -0.01261745 
1.98000000   2.89049912   0.06807154   1.98425870   -0.01330054 
1.98500000   2.89467064   0.05077064   1.98477673   -0.01381857 
1.99000000   2.89763611   0.03371263   1.98513974   -0.01418158 
1.99500000   2.89940973   0.01681604   1.98535477   -0.01439660 
2.00000000   2.90000000   0.00000000   1.98542598   -0.01446782 
